Word,Count
de,22900
que,19623
y,19084
a,16791
la,13682
el,10248
en,9819
no,6890
se,6730
n,5780
los,4903
con,4867
por,4486
su,4428
s,4379
lo,4075
las,3649
le,3563
del,3164
un,3011
me,2691
como,2621
al,2609
mi,2542
o,2408
yo,2081
para,2073
es,2072
una,1990
si,1931
m,1830
ni,1766
l,1571
don,1397
sin,1379
sus,1355
era,1347
tan,1342
todo,1279
pero,1230
an,1196
ya,1186
porque,1141
ma,1125
e,1092
dijo,1069
bien,982
ser,958
as,955
muy,939
esta,914
pues,889
cuando,887
ha,871
d,853
quijote,849
ella,839
habi,833
sen,831
esto,765
te,761
os,758
todos,751
este,714
dos,696
sancho,691
usted,669
or,667
cual,656
hab,654
fue,652
aquel,648
hasta,630
donde,628
asi,618
qu,579
sino,576
quien,573
estaba,565
he,561
casa,551
aunque,523
sobre,522
ndose,512
otro,497
aquella,496
entre,492
dios,492
nos,479
vuestra,479
otra,478
vida,478
ver,476
mas,473
hacer,469
respondio,464
tu,463
padre,460
poco,457
tanto,430
decir,426
merced,424
tiempo,419
mal,418
tal,413
manuel,412
ora,411
cosa,409
hay,408
habia,400
mucho,399
caballero,394
desde,383
juli,381
mismo,381
di,381
hombre,380
mundo,378
cura,371
menos,370
toda,363
ojos,363
mis,362
vez,359
ahora,357
nada,351
todas,350
luego,345
ndole,343
siempre,340
verdad,338
all,337
eso,336
cosas,336
alguna,329
is,328
t,327
ten,327
les,326
buen,324
parte,324
ellos,323
fin,322
mujer,322
c,321
gran,320
mano,320
son,317
mejor,316
tiene,312
alli,308
do,308
mo,304
est,302
tambi,302
uno,301
tres,296
tengo,296
manera,295
alma,292
dar,291
noche,283
buena,281
dicho,281
hija,280
cuanto,280
antes,280
entonces,275
veces,273
hecho,268
teni,266
amo,266
hizo,265
sea,264
manos,261
madre,257
otras,256
nunca,255
otros,253
rafaela,252
puede,252
cabeza,251
r,249
iba,245
aqui,245
digo,245
tierra,242
han,241
amigo,240
algo,236
soledad,234
soy,234
eran,233
punto,233
pedro,233
amor,233
dio,231
parece,230
fuera,230
aun,227
lugar,227
tener,226
nadie,226
sido,225
p,223
cielo,223
visto,223
aqu,221
fuese,220
puesto,220
haber,219
estas,219
casi,218
cada,216
camino,210
modo,210
mayor,208
estos,206
nuestro,205
muchas,205
ir,204
voz,204
da,202
contra,202
medio,201
quiero,196
nucha,195
mil,191
saber,191
persona,189
co,188
vio,188
sima,187
duda,186
va,186
ciudad,184
puerta,184
oi,182
deci,182
so,179
gente,179
hijo,177
aquellos,176
simo,174
hace,174
muchos,174
hacia,173
caballeros,172
vino,171
trinidad,170
hubiera,169
ven,168
cuenta,167
estaban,166
grande,166
muerte,165
ese,165
